X,Y,OBJECTID,CLASS,TANK_FUNCTION,TANK_MATERIAL,TANK_CONTENTS,TANK_UNDERGROUND,VOLUME,POTABLE_WATER,ROTATION,GIS_MANUFACTURER,ASSET_LEVEL_ACCURACY,ASSET_POSITIONAL_ACCURACY,FUNCTIONAL_LOC,GIS_CUSTODIAN,GIS_DESCRIPTION,GIS_OWNER,CREATED_DATE,LAST_EDITED_DATE,DATA_SOURCE
153.219619693,-27.755508322,95,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,N,,,F,D,K-STANMO,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/05/25 13:06:21,FPU
153.423407298,-28.128524547,96,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-COPLIC,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:13,2020/09/22 05:19:11,FPU
153.42788082,-27.95981833,97,STORAGE_TANK,OTHER,OTHER,TBA,,,,,,F,D,K-FEDE02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:11,2019/05/30 04:17:04,FPU
153.311981222,-27.990006206,98,STORAGE_TANK,IRRIGATION,OTHER,RAIN WATER,,,,,,F,D,K-COUN02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2020/10/23 03:39:27,FPU
153.311985921,-27.9900492429999,99,STORAGE_TANK,IRRIGATION,OTHER,RAIN WATER,,,,,,F,D,K-COUN02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2020/10/23 03:39:35,FPU
153.423378981,-28.1287226659999,100,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,N,,,,,F,E,K-COPLIC,51000811,Storage Tank,GCCC,2018/03/05 02:11:10,2019/06/06 06:41:12,AIR
153.428134278,-27.976457689,101,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,,,,F,E,F-TPMAIN,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:11,2019/05/25 13:05:05,AIR
153.427570381,-27.976278936,102,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,,,,F,E,F-TPMAIN,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:11,2019/05/25 13:05:05,AIR
153.291856722,-27.829015947,103,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,N,,N,,,F,D,K-HERI02,51000811,Storage Tank,GCCC,2016/02/04 23:01:29,2019/03/20 23:52:14,FPU
153.378131966,-28.173646388,104,STORAGE_TANK,SEPTIC,PLASTIC,UNTREATED WATER,Y,,N,,,F,D,K-GEORGE,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:12,2019/05/25 13:05:21,FPU
153.386775995,-28.044761286,105,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,5000,N,,,,D,F-ADNAMU,51000811,Storage Tank,GCCC,2019/05/07 02:48:21,2019/07/08 03:26:00,FPU
153.354852963,-28.0365914189999,106,STORAGE_TANK,OTHER,STEEL,DIESEL,N,,,,,F,,F-DPCARR,51003030,DIESEL STORAGE TANK,GCCC,2020/09/06 21:02:53,2020/09/15 07:31:51,AIR
153.412018336,-27.999750169,107,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,N,,,,E,F-ADWATE,51003030,Storage Tank,GCCC,2019/07/09 21:33:53,2019/09/10 07:06:32,
153.266204812,-27.7118538559999,108,STORAGE_TANK,IRRIGATION,STEEL,RAIN WATER,N,2000,N,,KINGSPAN WATER & ENERGY,F,E,F-CMALBE,51000989,Storage Tank,GCCC,2019/08/19 23:41:59,2019/09/10 07:06:34,SKE
153.387587298,-27.95802757,109,STORAGE_TANK,OTHER,CONCRETE,EFFLUENT,N,245000,N,,,A,A,S-CO-PSCAT-A106,51100218,Storage Tank 245KL,GCCC,2020/04/02 06:22:56,2020/04/08 22:24:14,EDF
153.426839731,-27.806900959,110,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,Y,,,,,F,,F-OTTIPP,51000989,PUMP WELL,GCCC,2016/03/24 01:47:54,2019/01/23 04:39:22,
