,x,y,tank_function,tank_material,tank_contents,tank_underground,volume,potable_water,asset_level_accuracy,asset_positional_accuracy,functional_loc
564,153.366017149,-27.780504548,SEPTIC,CONCRETE,EFFLUENT,Y,60.0,N,F,E,F-TPJACO
568,153.426360742,-28.0007912569999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,E,K-APPELP
571,153.425562014,-27.9515907649999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-MURIEL
573,153.42753929,-27.8066132709999,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
587,153.421799738,-27.8957005139999,SEPTIC,CONCRETE,RAIN WATER,N,11335.081081081082,N,F,E,F-CGBPAR
592,153.24499487,-27.7326723429999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,F-AMSTAP
597,153.246758481,-28.042771301,SEPTIC,FIBREGLASS,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-SYDDUN
599,153.366053614,-27.780487254,SEPTIC,CONCRETE,EFFLUENT,Y,60.0,N,F,E,F-TPJACO
602,153.40437343,-27.9702640799999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-OWENPA
613,153.366282906,-27.780282574,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,F-TPJACO
615,153.427474039,-27.806659118,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
616,153.427517464,-27.806562867,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
617,153.395771664,-28.2051959739999,SEPTIC,CONCRETE,EFFLUENT,Y,28.0,N,F,E,K-CURR09
620,153.426942024,-27.8100074179999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,E,F-WMTIPP
635,153.308756066,-27.896497004,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,K-GAMBAM
637,153.395843365,-28.2052154359999,SEPTIC,CONCRETE,EFFLUENT,Y,20.0,N,F,E,K-CURR09
639,153.309671862,-28.022343409,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,K-PETERM
645,153.365432433,-27.7794170089999,SEPTIC,CONCRETE,CHEMICAL,Y,4000.0,N,F,D,F-TPJACO
646,153.383524061,-28.04419394,SEPTIC,CONCRETE,EFFLUENT,Y,15000.0,N,F,E,F-ADNAMU
